,url,keyword,terms,error,access_date
7,https://www.amazon.jobs/en/jobs/2418469/principal-product-manager-technical-search-customer-experience?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,- Bachelor's degree- Experience owning/driving roadmap strategy and definition- Experience with feature delivery and tradeoffs of a product- Experience technical product management,,2023-08-14 21:43:42.527799
10,https://stripe.com/jobs/listing/product-manager-risk-and-compliance-platform/5262228?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,You Have,The onboarding and compliance team is the front door to the internet economy. We build and maintain the infrastructure that helps our users access all of Stripe’s financial products. Our team runs all the necessary compliance checks and helps users stay abreast of constantly changing regulatory and legal requirements. ,,2023-08-14 21:43:54.361142
22,https://jobs.productsthatcount.com/companies/uber/jobs/28625643-lead-product-manager-uber-connect-consumer-growth#content,Qualifications,"['Minimum 6 years experience delivering successful and innovative products with your fingerprints all over them', 'Consumer growth experience. You would have directly worked on growing usage and engagement of a tech consumer product, ideally within a marketplace business. You are familiar with consumer funnel analysis, experiment design, marketing tech, CRM, and conversion tactics', 'Technical savviness. Can manifest in different ways: a computer science undergraduate degree, hands-on software engineering experience, or experiences building complex software products side by side with engineers. Technical understanding must go from the highest abstractions down to the metal', 'Attention to detail. The ability to obsess over every single part of the experience', ""Customer obsession. The ability to take on complex product challenges and find elegant, simplifying solutions to avoid making them our user's and partner’s problems"", 'Finger-tippiness with data. You find a way to get the data you need and whip it into an insightful story with no help. You know how to maximise this data to make decisions without getting stuck in analysis paralysis', 'A “Driver” mentality. You are biased toward action, a great collaborator, a master disambiguator/simplifier, and constantly pushing toward clarity and delivery', 'Grittiness. You never hesitate to roll up your sleeves and tackle something hands-on', 'A high bar across the board — from your own contributions to the people you work with to the products you work on', 'A true passion for Uber’s mission, our products, and the company’s hybrid technology/operations nature', 'A never-ending desire to grow and learn']",,2023-08-14 21:44:35.955616
23,https://jobs.productsthatcount.com/companies/uber/jobs/28625642-lead-product-manager-uber-connect-consumer-growth#content,Qualifications,"['Minimum 6 years experience delivering successful and innovative products with your fingerprints all over them', 'Consumer growth experience. You would have directly worked on growing usage and engagement of a tech consumer product, ideally within a marketplace business. You are familiar with consumer funnel analysis, experiment design, marketing tech, CRM, and conversion tactics', 'Technical savviness. Can manifest in different ways: a computer science undergraduate degree, hands-on software engineering experience, or experiences building complex software products side by side with engineers. Technical understanding must go from the highest abstractions down to the metal', 'Attention to detail. The ability to obsess over every single part of the experience', ""Customer obsession. The ability to take on complex product challenges and find elegant, simplifying solutions to avoid making them our user's and partner’s problems"", 'Finger-tippiness with data. You find a way to get the data you need and whip it into an insightful story with no help. You know how to maximise this data to make decisions without getting stuck in analysis paralysis', 'A “Driver” mentality. You are biased toward action, a great collaborator, a master disambiguator/simplifier, and constantly pushing toward clarity and delivery', 'Grittiness. You never hesitate to roll up your sleeves and tackle something hands-on', 'A high bar across the board — from your own contributions to the people you work with to the products you work on', 'A true passion for Uber’s mission, our products, and the company’s hybrid technology/operations nature', 'A never-ending desire to grow and learn']",,2023-08-14 21:44:36.574682
24,https://jobs.productsthatcount.com/companies/uber/jobs/28625641-lead-product-manager-uber-connect-consumer-growth#content,Qualifications,"['Minimum 6 years experience delivering successful and innovative products with your fingerprints all over them', 'Consumer growth experience. You would have directly worked on growing usage and engagement of a tech consumer product, ideally within a marketplace business. You are familiar with consumer funnel analysis, experiment design, marketing tech, CRM, and conversion tactics', 'Technical savviness. Can manifest in different ways: a computer science undergraduate degree, hands-on software engineering experience, or experiences building complex software products side by side with engineers. Technical understanding must go from the highest abstractions down to the metal', 'Attention to detail. The ability to obsess over every single part of the experience', ""Customer obsession. The ability to take on complex product challenges and find elegant, simplifying solutions to avoid making them our user's and partner’s problems"", 'Finger-tippiness with data. You find a way to get the data you need and whip it into an insightful story with no help. You know how to maximise this data to make decisions without getting stuck in analysis paralysis', 'A “Driver” mentality. You are biased toward action, a great collaborator, a master disambiguator/simplifier, and constantly pushing toward clarity and delivery', 'Grittiness. You never hesitate to roll up your sleeves and tackle something hands-on', 'A high bar across the board — from your own contributions to the people you work with to the products you work on', 'A true passion for Uber’s mission, our products, and the company’s hybrid technology/operations nature', 'A never-ending desire to grow and learn']",,2023-08-14 21:44:37.239975
25,https://jobs.productsthatcount.com/companies/uber/jobs/28625638-lead-product-manager-uber-connect-consumer-growth#content,Qualifications,"['Minimum 6 years experience delivering successful and innovative products with your fingerprints all over them', 'Consumer growth experience. You would have directly worked on growing usage and engagement of a tech consumer product, ideally within a marketplace business. You are familiar with consumer funnel analysis, experiment design, marketing tech, CRM, and conversion tactics', 'Technical savviness. Can manifest in different ways: a computer science undergraduate degree, hands-on software engineering experience, or experiences building complex software products side by side with engineers. Technical understanding must go from the highest abstractions down to the metal', 'Attention to detail. The ability to obsess over every single part of the experience', ""Customer obsession. The ability to take on complex product challenges and find elegant, simplifying solutions to avoid making them our user's and partner’s problems"", 'Finger-tippiness with data. You find a way to get the data you need and whip it into an insightful story with no help. You know how to maximise this data to make decisions without getting stuck in analysis paralysis', 'A “Driver” mentality. You are biased toward action, a great collaborator, a master disambiguator/simplifier, and constantly pushing toward clarity and delivery', 'Grittiness. You never hesitate to roll up your sleeves and tackle something hands-on', 'A high bar across the board — from your own contributions to the people you work with to the products you work on', 'A true passion for Uber’s mission, our products, and the company’s hybrid technology/operations nature', 'A never-ending desire to grow and learn']",,2023-08-14 21:44:37.940402
26,https://jobs.productsthatcount.com/companies/uber/jobs/28625637-lead-product-manager-uber-connect-consumer-growth#content,Qualifications,"['Minimum 6 years experience delivering successful and innovative products with your fingerprints all over them', 'Consumer growth experience. You would have directly worked on growing usage and engagement of a tech consumer product, ideally within a marketplace business. You are familiar with consumer funnel analysis, experiment design, marketing tech, CRM, and conversion tactics', 'Technical savviness. Can manifest in different ways: a computer science undergraduate degree, hands-on software engineering experience, or experiences building complex software products side by side with engineers. Technical understanding must go from the highest abstractions down to the metal', 'Attention to detail. The ability to obsess over every single part of the experience', ""Customer obsession. The ability to take on complex product challenges and find elegant, simplifying solutions to avoid making them our user's and partner’s problems"", 'Finger-tippiness with data. You find a way to get the data you need and whip it into an insightful story with no help. You know how to maximise this data to make decisions without getting stuck in analysis paralysis', 'A “Driver” mentality. You are biased toward action, a great collaborator, a master disambiguator/simplifier, and constantly pushing toward clarity and delivery', 'Grittiness. You never hesitate to roll up your sleeves and tackle something hands-on', 'A high bar across the board — from your own contributions to the people you work with to the products you work on', 'A true passion for Uber’s mission, our products, and the company’s hybrid technology/operations nature', 'A never-ending desire to grow and learn']",,2023-08-14 21:44:38.607681
27,https://jobs.productsthatcount.com/companies/uber/jobs/28625633-lead-product-manager-global-intelligence-investments#content,Qualifications,"['Product Experience: Minimum 6+ years of PM experience delivering successful and innovative products with your fingerprints all over them.', 'Leadership Experience: Prior experience crafting coherent product visions, multi-year strategies, and roadmaps that your team and the business rallies behind.', 'Data Savviness: You can find the data needed and whip it into an insightful story while knowing how to use this data to make decisions and prevent getting stuck in analysis paralysis.']",,2023-08-14 21:44:39.475525
28,https://jobs.productsthatcount.com/companies/uber/jobs/28625622-group-product-manager-search#content,Qualifications,"[""Minimum 7 years of experience delivering highly successful and innovative consumer Internet products with your fingerprints all over them - you're extremely proud of what you've accomplished."", 'Customer obsession: a clear track record of delivering elegant solutions for true user problems!', 'A computer science, statistics, or engineering undergraduate degree or equivalent, preferably including hands-on software development experience']",,2023-08-14 21:44:40.222472
30,https://jobs.productsthatcount.com/privacy-policy#content,You Have,"['know if your personal data is being processed and, where appropriate, access it', 'rectify your personal data if it was inaccurate or incomplete', 'require us to delete your data if it is not necessary for the indicated purposes', 'require us to limit the processing of your personal data', 'transfer your personal data to another provider of your choice (portability)', 'oppose the processing of your personal data or withdraw your consent at any time', 'file a claim with the relevant Data Protection Authority (if you are based in the EEA), or with the Information Commissioner (https://ico.org.uk/) (if you are based in the UK) if you believe your rights have been infringed.']",,2023-08-14 21:44:44.412499
