,url,keyword,terms,error,access_date
2,https://jobs.lever.co/StubHubHoldings/9123d721-7805-480d-a503-533e8186172c?lever-source=LinkedInJobs&source=6,We would like to see:,"[<li>8+ years of product management experience in consumer web or mobile (native) products </li>, <li>2+ years of experience managing product managers </li>, <li>BS or MS in STEM, Economics, Psychology or close equivalent preferred </li>]",,2023-08-14 12:06:44.674818
11,https://careers.google.com/jobs/results/87918321711620806-product-manager-ii-google-cloud/?distance=50&employment_type=FULL_TIME&gh_src=Products%20That%20Count%20job%20board&page=9&q=&utm_medium=getro.com&utm_source=Products%20That%20Count%20job%20board,Minimum qualifications:,"[<li>Bachelor's degree or equivalent practical experience.<br/></li>, <li>5 years of experience in product management, co-founder or related technical role.<br/></li>, <li>1 year of experience building and shipping technical products.<br/></li>, <li>Experience developing/launching products/technologies within one or more of the following: Cloud, SaaS, enterprise, internal tools, or supply chain networks.<br/></li>]",,2023-08-14 12:06:51.765610
17,https://boards.greenhouse.io/robinhood/jobs/5055930?t=gh_src%3D&gh_jid=5055930&gh_src=ed898e781us&source=LinkedIn#app,What you bring:,"[<li>Bachelor’s or Master's Degree</li>, <li>4+ years of direct product management experience building high-quality consumer products</li>, <li>Familiarity using research, experimentation and product analytics to guide decision making</li>, <li>Ability to focus on a problem at hand while thoughtfully considering overarching company strategy</li>, <li>Passion for financial products and improving people’s financial lives</li>, <li>Motivation to be a self-starter</li>]",,2023-08-14 12:07:08.884745
18,https://boards.greenhouse.io/robinhood/jobs/5092932?t=gh_src%3D&gh_jid=5092932&gh_src=ed898e781us#app,What you bring:,"[<li>Bachelor’s or Master's Degree</li>, <li>4+ years of direct product management experience building high-quality consumer products</li>, <li>Experience in a growth product management role</li>, <li>Familiarity using research, experimentation and product analytics to guide decision making</li>, <li>Ability to focus on a problem at hand while thoughtfully considering overarching company strategy</li>, <li>Passion for financial products and improving people’s financial lives</li>, <li>Motivation to be a self-starter</li>]",,2023-08-14 12:07:09.316111
19,https://boards.greenhouse.io/notion/jobs/5656620003,Skills You'll Need to Bring:,"[<li>5 to 10 years of proven experience as a Product Manager in an Enterprise SaaS environment, with a focus on admin oriented features such as security, compliance, and auditing features.</li>, <li>Strong understanding of enterprise administration, security protocols, compliance standards, and auditing processes.</li>, <li>Familiarity with industry regulations and standards such as GDPR, HIPAA, SOC 2, ISO 27001, etc.</li>, <li>Strong leadership and communication skills, with the ability to collaborate effectively with cross-functional teams and internal and external stakeholders.</li>, <li>Strategic thinking and business acumen, with a customer-centric approach.</li>, <li>Stay up-to-date with industry best practices, emerging technologies, and regulatory requirements related to enterprise security, compliance, and auditing, and incorporate them into the product roadmap as necessary.</li>]",,2023-08-14 12:07:09.699667
31,https://boards.greenhouse.io/materialize/jobs/4789625004?source=LinkedIn,About You:,"[<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Scope, specify, design and drive the completion of new features in partnership with engineering and technical leaders across multiple teams.</span></li>, <li style=""font-weight: 400;""><span style=""font-weight: 400;"">Balance myriad factors including market, customers, and team to prioritize what we build and what we do not build.</span></li>, <li style=""font-weight: 400;""><span style=""font-weight: 400;"">Collaborate with sales and marketing to plan, execute and bring new features to market.</span></li>, <li style=""font-weight: 400;""><span style=""font-weight: 400;"">Gain deep knowledge of the streaming and database ecosystem to understand requirements.</span></li>, <li style=""font-weight: 400;""><span style=""font-weight: 400;"">Conduct basic research, experimentation, interviews, and usability testing to decrease uncertainty and increase confidence that what we build satisfies customer needs and desires.</span></li>, <li style=""font-weight: 400;""><span style=""font-weight: 400;"">Use data and analytics and to help understand how customers use Materialize and define metrics to understand where we have success.</span><span style=""font-weight: 400;""><br/></span></li>]",,2023-08-14 12:07:32.647587
35,https://jobs.smartrecruiters.com/Square/743999911444267-product-manager-identity?source=Linkedin,Qualifications:,"[<li>Healthcare coverage (Medical, Vision and Dental insurance)</li>, <li>Health Savings Account and Flexible Spending Account</li>, <li>Retirement Plans including company match </li>, <li>Employee Stock Purchase Program</li>, <li>Wellness programs, including access to mental health, 1:1 financial planners, and a monthly wellness allowance </li>, <li>Paid parental and caregiving leave</li>, <li>Paid time off (including 12 paid holidays)</li>, <li>Paid sick leave (1 hour per 26 hours worked (max 80 hours per calendar year to the extent legally permissible) for non-exempt employees and covered by our Flexible Time Off policy for exempt employees) </li>, <li>Learning and Development resources</li>, <li>Paid Life insurance, AD&amp;D, and disability benefits </li>, <li>Additional Perks such as WFH reimbursements and free access to caregiving, legal, and discounted resources </li>]",,2023-08-14 12:07:36.955688
39,https://boards.greenhouse.io/figma/jobs/4909239004,We'd love to hear from you if you:,"[<li>
<p>Have deep user empathy and are able to understand complex product spaces.</p>
</li>, <li>
<p>Are a strong cross-functional collaborator, both within the product development organization and with business functions.</p>
</li>, <li>
<p>Have a background in building enterprise SaaS products and monetization strategies.</p>
</li>, <li>
<p>Have experience managing PMs, and love creating the environment for a happy, successful team. </p>
</li>, <li>
<p>Are unafraid to do whatever it takes to make your team successful, whether that’s sweating the small details, doing IC work, or going back and forth with execs to find the right way forward.</p>
</li>, <li>
<p>Have an affinity for the fast-paced, changing environment of a start-up, a sense of humor and get-it-done personality</p>
</li>]",,2023-08-14 12:07:39.630702
40,https://boards.greenhouse.io/figma/jobs/4933036004,Qualifications:,"Figma offers equity to employees, as well a competitive package of additional benefits, including health, dental & vision, retirement with company contribution, parental leave & reproductive or family planning support, mental health & wellness benefits, generous PTO, company recharge days, a learning & development stipend, a work from home stipend, and cell phone reimbursement.  Figma also offers sales incentive pay for most sales roles. Figma’s compensation and benefits are subject to change and may be modified in the future.",,2023-08-14 12:07:40.152992
43,https://boards.greenhouse.io/mavenclinic/jobs/6624097002,Minimum qualifications:,"[<li>Bachelor's degree in a relevant field, or equivalent practical experience</li>, <li>7+ years of experience in program management</li>, <li>2+ years experience in Software Engineering, Software Infrastructure Engineering or Security</li>]",,2023-08-14 12:07:41.632745
