,url,keyword,terms,error,access_date
0,https://www.builtinnyc.com/job/product/senior-product-manager-protect/230690,What you'll need,"['6+ years of Product Management experience with consumer-facing products, especially in the insurtech space', 'Experience leading cross-functional teams to deliver impactful features by deadline.', 'Data-driven approach, including experience leading experimentation, and end-to-end A/B testing.', 'Ability to think strategically and execute methodically.', 'Passion and empathy for your users! You do right by them, always.', 'Subject matter expertise in consumer financial products, especially in Insurtech and personal financial planning.']",,2023-08-14 21:14:00.729612
1,https://www.builtinnyc.com/job/product/azure-product-manager/230767,Requirements,"['Industry standard Product Manager certification - Certified Product Manager or New Product Development professional certification a plus', ""Bachelor's Degree in Engineering, Computer Science or related technical field , Masters or MBA preferred."", 'Experience using Agile/Scrum methodology', 'Outstanding written and oral communication skills']",,2023-08-14 21:14:01.698054
2,https://www.builtinnyc.com/job/product/product-manager-omnichannel-mobile/229653,Qualifications,"['8+ years of product management or relevant experience', ""Vision: You've formed, gained buy-in, and driven key strategies shaping the direction of your team."", 'A collaborative approach: Experience driving alignment and delivering results with cross-functional partners in a complex organization.', 'Customer empathy: Experience shaping product direction and execution based on customer needs.', ""Results: You're excellent tactically, with a proven track record of shipping simple, elegant products at scale."", 'Analytical skills: Comfortable working with data and models to understand current performance, model out growth opportunities, and apply data to your decisions.', ""Great relationship-building skills that shine when you're talking with a customer, cross-functional partner, or engaging a diverse audience and optimizing for impact"", 'Ability to both operate at a strategic level and dive deep into the complexity communicating your strategy to partners, product managers, engineers, and designers.', 'You can readily communicate technical and complex topics to non-technical audiences.', 'Natural curiosity and growth mindset, obsession with the details', 'Self-starter and track record of delivering results across the finish line', 'Excellent organization and prioritization skills']",,2023-08-14 21:14:03.316234
3,https://www.builtinnyc.com/job/product/senior-product-manager-banking/226218,About You,"['Strong consumer product and user experience instincts - you have a knack for understand what people want and makes an experience meet and exceed their expectations', 'Radical thinking paired with strong execution - can envision a world different than the status quo with the ability to articulate a clear path to get there', 'While you can dream big, you also know when and how to ruthlessly prioritize and ship quickly in order to learn and iterate', 'Creative problem solver - able to identify real obstacles and viable solutions', 'Self-motivated, with excellent written and verbal communication skills', 'Not hesitant to get hands dirty and do whatever is necessary to ensure success', 'Outcome oriented - not reactionary; you can articulate the desired outcome and work collaboratively to create a path to achieve it', 'Highly technical, garnering respect from engineers\xa0']",,2023-08-14 21:14:04.231914
4,https://www.builtinnyc.com/job/product/senior-product-manager-coordinate/232760,Requirements,What you'll achieve,,2023-08-14 21:14:05.078297
5,https://www.builtinnyc.com/job/product/senior-product-manager-e-commerce/226344,You Have,"Peloton does not accept unsolicited agency resumes. Agencies should not forward resumes to our jobs alias, Peloton employees or any other organization location. Peloton is not responsible for any agency fees related to unsolicited resumes.",,2023-08-14 21:14:07.221502
6,https://www.builtinnyc.com/job/product/sr-business-manager-cml-card-product-strategy/226627,Requirements,"[""Bachelor's Degree in any quantitative field (Business, Math, Economics, Finance, Statistics, Science, Engineering)"", 'At least 2 years of experience in quantitative analysis', 'At least 2 years of experience in qualitative analysis', 'At least 1 year of experience in people management', 'At least 1 year of experience in project management']",,2023-08-14 21:14:08.673695
0,https://www.builtinnyc.com/job/product/product-manager-omnichannel-mobile/229716,Qualifications,"['8+ years of product management or relevant experience', ""Vision: You've formed, gained buy-in, and driven key strategies shaping the direction of your team."", 'A collaborative approach: Experience driving alignment and delivering results with cross-functional partners in a complex organization.', 'Customer empathy: Experience shaping product direction and execution based on customer needs.', ""Results: You're excellent tactically, with a proven track record of shipping simple, elegant products at scale."", 'Analytical skills: Comfortable working with data and models to understand current performance, model out growth opportunities, and apply data to your decisions.', ""Great relationship-building skills that shine when you're talking with a customer, cross-functional partner, or engaging a diverse audience and optimizing for impact"", 'Ability to both operate at a strategic level and dive deep into the complexity communicating your strategy to partners, product managers, engineers, and designers.', 'You can readily communicate technical and complex topics to non-technical audiences.', 'Natural curiosity and growth mindset, obsession with the details', 'Self-starter and track record of delivering results across the finish line', 'Excellent organization and prioritization skills']",,2023-08-14 21:14:52.678415
1,https://www.builtinnyc.com/job/product/sr-product-manager-platform/232912,About You,"['4+ years of product management in the AdTech ecosystem, with a history of working on technical product and/or integrations', 'Bachelor’s degree in computer science, technology, business, economics, or equivalent experience', 'Deep knowledge of the AdTech industry, including key technologies, industry trends, and an eye towards future innovations in the space', 'Experience developing and maintaining enterprise products, throughout the entire product life cycle', 'A passion for customers and the ability to acutely evaluate and weigh competing solutions and requests to deliver best-in-class products', 'Excellent communication skills, both verbal and written, and a strong attention to detail.', 'Entrepreneurial spirit, with a desire to wear many hats and tackle many challenges', 'Familiarity with programming languages and SQL a plus']",,2023-08-14 21:14:53.367487
3,https://www.builtinnyc.com/job/product/product-compliance-manager-bitcoin-square/229718,Requirements,"['5+ years as a project or program manager with direct experience in BSA/AML compliance and crypto or 7+ years in relevant crypto role', 'Knowledge and familiarity with blockchain analytics tools such as Chainalysis & Elliptic', 'A strong analytical and metrics driven approach to create substantiated solutions', 'Strong knowledge in Sanctions or BSA/AML regulations, risks and typologies', 'Strong knowledge and experience in Cryptocurrency regulations']",,2023-08-14 21:16:18.270621
