,url,keyword,terms,error,access_date
0,https://www.amazon.jobs/en/jobs/2418469/principal-product-manager-technical-search-customer-experience?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,- Bachelor's degree- Experience owning/driving roadmap strategy and definition- Experience with feature delivery and tradeoffs of a product- Experience technical product management,,2023-08-15 11:24:06.083361
4,https://www.amazon.jobs/en/jobs/2402687/senior-product-manager-amazon?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,"- 5+ years of product or program management, product marketing, business development or technology experience- Bachelor's degree or equivalent- Experience with feature delivery and tradeoffs of a product- Experience owning/driving roadmap strategy and definition- Experience with end to end product delivery- Strong verbal and written communication skills",,2023-08-15 11:24:28.998441
5,https://www.amazon.jobs/en/jobs/2389002/principal-product-manager-tech-external-services-afss?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,"- 7+ years of working as a Technical Product Manager experience- 5+ years of technical (software development, network development, IT, other related) experience- Experience delivering large-scale SaaS, PaaS or LaaS products where you are responsible for the full product lifecycle, from concept through GTM (go to market)- Experience leading technical discussions with external customers",,2023-08-15 11:24:30.712645
6,https://www.amazon.jobs/en/jobs/2407038/principal-product-manager-tech-defect-prevention-reconciliation-dp-r?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,- Bachelor's degree- 8+ years of technical product or program management experience- Experience in driving product roadmap strategy and definition conversations- Experience in working directly with engineers on product enhancements- Experience in designing product value propositions for large tech audiences and teams. - An understanding of core AWS technologies and the ability to weigh pros vs cons of technology choices within proposals- Excellent business and communication skills and be able to work with business owners to develop and define key business questions- Demonstrated ability to deliver with complete independence in situations where product strategy is not yet defined,,2023-08-15 11:24:32.582216
8,https://www.amazon.jobs/en/jobs/2403569/sr-product-manager-tech-candidate-experience-and-technology?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,- Bachelor's degree- Experience owning/driving roadmap strategy and definition- Experience with feature delivery and tradeoffs of a product- Experience contributing to engineering discussions around technology decisions and strategy related to a product- Experience managing technical products or online services,,2023-08-15 11:24:36.091561
9,https://www.amazon.jobs/en/jobs/2384722/principal-product-manager-technical-ground-mobility-connected-car-kuiper-b2b?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,- Bachelor's Degree or equivalent experience- 10+ years experience owning/driving roadmap strategy and definition- 10+ years experience with feature delivery and tradeoffs of a product- 10+ years experience technical product management- 5+ years experience working in Ground Mobility or Automotive OEM industry,,2023-08-15 11:24:37.843578
0,https://www.amazon.jobs/en/jobs/2405928/principal-product-manager-pubtech-deals-scheduling?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,- Bachelor's degree- Experience owning/driving roadmap strategy and definition- Experience with feature delivery and tradeoffs of a product- Experience technical product management,,2023-08-15 11:25:08.304009
1,https://www.amazon.jobs/en/jobs/2386896/principal-product-manager-l7-technical-discovery-tech-us-prime-marketing-technology?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,"- Strong business and technical vision; candidate has shaped a complex technical program before.- Proven experience in product management of multiple initiatives with competing priorities and influencing multiple diverse stakeholders (business, tech).- Demonstrated strong data-driven approach. Ability to pull data themselves (preferred), define data requirements/brief BIs.- Ability to present complex technical information in a clear and concise manner to a variety of audiences. Experience communicating with technical and non-technical senior stakeholders across multiple business units. Strong written communication skills.- Demonstrated ability to adapt to new technologies and learn quickly.- BS/MS in Computer Science, Engineering, or equivalent.- 7+ years experience building technical products.",,2023-08-15 11:25:10.146984
2,https://www.amazon.jobs/en/jobs/2408589/sr-technical-product-manager-data-center-engineering-electrical-solutions?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,- 5+ years of end to end product delivery experience- 5+ years of technical product or program management experience- 5+ years relevant work experience in or working with mission critical facilities - 5+ years of product development or similar experience in electrical hardware sub-systems for data centers or other mission critical facilities- Bachelor's degree in Electrical Engineering or similar field from an accredited university,,2023-08-15 11:25:12.187724
3,https://www.amazon.jobs/en/jobs/2396619/principal-product-manager-technical-kindle-software?utm_source=Products+That+Count+job+board&utm_medium=getro.com&gh_src=Products+That+Count+job+board,Qualifications,"- 8+ years of product or program management, product marketing, business development or technology experience- Bachelor's degree- Experience with feature delivery and tradeoffs of a product- Experience owning/driving roadmap strategy and definition- Experience with end to end product delivery- Experience contributing to engineering discussions around technology decisions and strategy related to a product- Experience technical product management",,2023-08-15 11:25:13.960321
